"GTEXID","Age","PTGES2"
"GTEX-13FTW-1126-SM-5J2NV","40-49",1.54617714429969
"GTEX-13NYB-1026-SM-5IFH3","40-49",0.274721534917696
"GTEX-14AS3-0126-SM-5Q5F4","40-49",-0.284457665841199
"GTEX-14JG1-1626-SM-664NH","40-49",-0.537229618484944
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",0.636182324956928
"GTEX-15RJE-1126-SM-6LPI5","40-49",-0.259164080484306
"GTEX-15SHU-1826-SM-7KUKS","40-49",-1.16546308672061
"GTEX-15UF7-0426-SM-HAV2G","40-49",0.625457485775678
"GTEX-17EVP-1026-SM-7IGOZ","40-49",-0.513185178491004
"GTEX-17MF6-1126-SM-7DUFS","40-49",0.946367401185988
"GTEX-1B932-1426-SM-793AN","40-49",0.732513411257613
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",-1.30369376207219
"GTEX-1EN7A-2026-SM-7MGY4","40-49",0.409959955546109
"GTEX-1GF9X-0426-SM-7MKHN","40-49",-0.486740803386732
"GTEX-1H11D-0826-SM-9OSWB","40-49",0.40771728184592
"GTEX-1H1DF-1326-SM-9WPPR","40-49",-0.658916304848048
"GTEX-1HBPH-2626-SM-A96TV","40-49",-0.0562345928201149
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",0.0456540773770937
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",-1.98166928929665
"GTEX-1MJIX-0726-SM-DPRYP","40-49",0.323064007374049
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",0.674037500544272
"GTEX-P78B-1326-SM-3P611","40-49",0.50087072766447
"GTEX-Q2AG-1126-SM-48U1P","40-49",-0.877035916398578
"GTEX-Q734-0326-SM-48U15","40-49",0.150640419121178
"GTEX-RWSA-1426-SM-47JXA","40-49",-0.767344733837403
"GTEX-UPK5-1426-SM-4JBHH","40-49",0.152515976694234
"GTEX-W5X1-0126-SM-HLJRF","40-49",2.03414419001524
"GTEX-WFON-1726-SM-4LVMQ","40-49",-0.190558122270847
"GTEX-WYVS-1926-SM-4PQZ2","40-49",-0.209364180691202
"GTEX-WZTO-0626-SM-4PQYY","40-49",-0.780760200985401
"GTEX-X3Y1-2726-SM-4PQZH","40-49",-0.224246156638345
"GTEX-Y5LM-0426-SM-4VBRO","40-49",1.54202489573152
"GTEX-YB5E-0326-SM-5IFHU","40-49",1.47260110890717
"GTEX-YEC4-0826-SM-5P9FV","40-49",1.14811117817977
"GTEX-YFC4-1526-SM-5IFJS","40-49",1.46067873013339
"GTEX-Z9EW-0426-SM-5CVM9","40-49",-0.576606538214724
"GTEX-ZAB4-0826-SM-5LU9D","40-49",-0.431703959219017
"GTEX-ZPU1-0826-SM-57WG2","40-49",0.128062541713769
"GTEX-11DXZ-0126-SM-5EGGY","50-59",-0.83814244630768
"GTEX-11NUK-1226-SM-5P9GM","50-59",-0.571778722219358
"GTEX-11ZVC-0726-SM-5FQT9","50-59",-0.915409266761746
"GTEX-12WSG-0626-SM-5FQTQ","50-59",0.0456540773770937
"GTEX-12WSI-0226-SM-5GCNA","50-59",0.161108006140156
"GTEX-12WSL-0226-SM-5CVMJ","50-59",-0.0733371272454751
"GTEX-13112-1426-SM-5EGH8","50-59",-2.01170642948018
"GTEX-131XE-0326-SM-5LZVO","50-59",-0.424879275729816
"GTEX-131XH-0626-SM-5LZWH","50-59",-0.950785650626663
"GTEX-132AR-0426-SM-5IFH8","50-59",0.826635733578264
"GTEX-139YR-0226-SM-5IFEM","50-59",0.759636238944501
"GTEX-13FLV-0326-SM-5N9DJ","50-59",-0.912814825703132
"GTEX-13N11-0926-SM-5IJG2","50-59",0.0456540773770937
"GTEX-13NZ9-1326-SM-5MR3V","50-59",0.0456540773770937
"GTEX-13OVJ-1026-SM-5IFGI","50-59",1.93768799210128
"GTEX-13OVL-0726-SM-HAV29","50-59",-0.0543796573311709
"GTEX-13OW6-2626-SM-5IFF2","50-59",0.159779634107888
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",-0.115688721828904
"GTEX-13SLX-1226-SM-5S2Q6","50-59",2.00994609236608
"GTEX-13VXU-0926-SM-5IFFH","50-59",-1.21981711292139
"GTEX-13X6J-1826-SM-5TDCT","50-59",-2.39340020137369
"GTEX-144GL-1426-SM-5O9BO","50-59",-1.90076186310997
"GTEX-145LU-1326-SM-5LU9N","50-59",-1.66331575499002
"GTEX-145MF-0826-SM-5QGQA","50-59",0.841801078691233
"GTEX-146FH-1526-SM-5NQBU","50-59",1.54924020473889
"GTEX-147F4-1426-SM-5LUA8","50-59",0.566366660444042
"GTEX-14A5I-1726-SM-5QGQ5","50-59",-0.144209036188653
"GTEX-14BIL-1326-SM-5O9CZ","50-59",-0.658984580405405
"GTEX-14C38-1526-SM-5RQJ7","50-59",1.27080728167418
"GTEX-14E1K-0326-SM-5S2PE","50-59",-0.499340268543499
"GTEX-14PHX-0526-SM-664NW","50-59",0.470556244653931
"GTEX-15SZO-1226-SM-6LPIP","50-59",0.274553064216136
"GTEX-17HGU-1826-SM-7IGQM","50-59",-0.400701961526926
"GTEX-17HHE-0126-SM-79398","50-59",1.08536869488328
