"GTEXID","Age","PRXL2B"
"GTEX-1ICLY-1526-SM-C1YS4","50-59",-0.377902541171735
"GTEX-1JMLX-1326-SM-CXZJO","50-59",0.104183336634747
"GTEX-1K9T9-0726-SM-CXZJZ","50-59",0.730731808644237
"GTEX-1KAFJ-0726-SM-CXZKF","50-59",0.266356729346986
"GTEX-1KANB-2226-SM-DHXJW","50-59",0.208260968154573
"GTEX-1KD5A-1226-SM-CXZK7","50-59",-0.305117809388275
"GTEX-1LB8K-1926-SM-HLJQQ","50-59",0.393457253133619
"GTEX-1LGRB-0626-SM-CNNQH","50-59",0.100506161691433
"GTEX-1LH75-0926-SM-EAZ5C","50-59",0.100506161691433
"GTEX-1LSNL-2026-SM-HLJQ4","50-59",0.593801496688509
"GTEX-1OJC4-1126-SM-HLJQI","50-59",0.0242514817604776
"GTEX-1QP66-0226-SM-DPRXS","50-59",-1.73431498313355
"GTEX-1S3DN-1126-SM-HLJQO","50-59",-0.441101510670339
"GTEX-O5YW-0826-SM-HK7A3","50-59",-1.15463965781516
"GTEX-OHPM-0826-SM-HLJRC","50-59",-0.944356799291212
"GTEX-OXRK-1226-SM-HLJR8","50-59",0.187774112761269
"GTEX-QDVN-0826-SM-48TZ2","50-59",1.57358440994777
"GTEX-QEL4-1226-SM-447A4","50-59",1.52263684878511
"GTEX-QV44-0326-SM-C1YQX","50-59",-0.193312262454644
"GTEX-QXCU-1826-SM-HLJS6","50-59",-0.694066698730006
"GTEX-R53T-0326-SM-48FEC","50-59",0.354989080648892
"GTEX-RM2N-1926-SM-48FCU","50-59",-0.279064098883084
"GTEX-RN64-1826-SM-48FDV","50-59",-0.370856443433444
"GTEX-RNOR-1426-SM-48FDJ","50-59",-1.62527924175023
"GTEX-RU72-1426-SM-46MUF","50-59",-0.683056485419331
"GTEX-S32W-1926-SM-4AD63","50-59",0.907893108150026
"GTEX-S7SE-1326-SM-HLJRN","50-59",0.742746002098754
"GTEX-SIU8-1226-SM-HLJRG","50-59",1.28470756507643
"GTEX-T6MN-1226-SM-3NMA5","50-59",-0.850945893526729
"GTEX-TKQ2-1726-SM-4DXUP","50-59",1.15521911828803
"GTEX-VUSG-0126-SM-4KL1X","50-59",1.95799460372065
"GTEX-WK11-1326-SM-4M9QU","50-59",-0.0637427416675895
"GTEX-WL46-1726-SM-HAUZC","50-59",-0.590134696490497
"GTEX-WVLH-2126-SM-EYYWD","50-59",-0.882846848252988
"GTEX-WWYW-1026-SM-GQ1CM","50-59",-2.61082546922376
"GTEX-WY7C-0726-SM-4ONCB","50-59",2.10502575156931
"GTEX-X261-1726-SM-4PQYT","50-59",0.726213490116921
"GTEX-XBEC-1526-SM-4AT68","50-59",0.100955916832773
"GTEX-XPVG-1126-SM-HLJRE","50-59",1.66236235830663
"GTEX-XXEK-1126-SM-4BRUX","50-59",1.16573390237449
"GTEX-Y111-0726-SM-EYYVM","50-59",-0.431176351502159
"GTEX-Y3IK-0326-SM-HLJRD","50-59",0.998831497782902
"GTEX-ZAB5-0426-SM-5CVMI","50-59",0.428441489136383
"GTEX-ZEX8-0826-SM-4WKHK","50-59",0.371241971794523
