GTEXID,Age,ALOX5
GTEX-1LH75-0926-SM-EAZ5C,50-59,1.085473245
GTEX-1LSNL-2026-SM-HLJQ4,50-59,-0.330751934
GTEX-1OJC4-1126-SM-HLJQI,50-59,-1.885489273
GTEX-1QP66-0226-SM-DPRXS,50-59,1.413820463
GTEX-1S3DN-1126-SM-HLJQO,50-59,1.310618439
GTEX-O5YW-0826-SM-HK7A3,50-59,0.127418883
GTEX-OHPM-0826-SM-HLJRC,50-59,-0.093229904
GTEX-OXRK-1226-SM-HLJR8,50-59,0.432350498
GTEX-QDVN-0826-SM-48TZ2,50-59,0.249398923
GTEX-QEL4-1226-SM-447A4,50-59,1.29459687
GTEX-QV44-0326-SM-C1YQX,50-59,0.162158123
GTEX-QXCU-1826-SM-HLJS6,50-59,1.027755095
GTEX-R53T-0326-SM-48FEC,50-59,0.257213773
GTEX-RM2N-1926-SM-48FCU,50-59,0.955435962
GTEX-RN64-1826-SM-48FDV,50-59,-0.571474264
GTEX-RNOR-1426-SM-48FDJ,50-59,-1.220907826
GTEX-RU72-1426-SM-46MUF,50-59,-0.291717994
GTEX-S32W-1926-SM-4AD63,50-59,0.249398923
GTEX-S7SE-1326-SM-HLJRN,50-59,-1.223348931
GTEX-SIU8-1226-SM-HLJRG,50-59,-1.612215649
GTEX-T6MN-1226-SM-3NMA5,50-59,-0.126015285
GTEX-TKQ2-1726-SM-4DXUP,50-59,0.795177144
GTEX-VUSG-0126-SM-4KL1X,50-59,0.388233367
GTEX-WK11-1326-SM-4M9QU,50-59,-1.835282375
GTEX-WL46-1726-SM-HAUZC,50-59,-1.850212778
GTEX-WVLH-2126-SM-EYYWD,50-59,-1.364441201
GTEX-WWYW-1026-SM-GQ1CM,50-59,0.501175057
GTEX-WY7C-0726-SM-4ONCB,50-59,0.725722238
GTEX-X261-1726-SM-4PQYT,50-59,-0.641552363
GTEX-XBEC-1526-SM-4AT68,50-59,0.108301402
GTEX-XPVG-1126-SM-HLJRE,50-59,1.511298562
GTEX-XXEK-1126-SM-4BRUX,50-59,-0.054237387
GTEX-Y111-0726-SM-EYYVM,50-59,-0.887788822
GTEX-Y3IK-0326-SM-HLJRD,50-59,1.769701455
GTEX-ZAB5-0426-SM-5CVMI,50-59,0.382854494
GTEX-ZEX8-0826-SM-4WKHK,50-59,0.903996768
GTEX-ZF2S-3026-SM-4WWCH,50-59,0.67403786
GTEX-ZVP2-0626-SM-51MSO,50-59,1.071367298
GTEX-ZVT4-0626-SM-5E45T,50-59,-0.54577422
GTEX-ZZPU-0426-SM-5GZYH,50-59,0.896650041
GTEX-111FC-1226-SM-HAV27,60-69,-1.83242387
GTEX-11DXY-0526-SM-5EGGQ,60-69,-2.890567916
GTEX-11EMC-0326-SM-HAV2K,60-69,-1.277959316
GTEX-11GSP-0626-SM-5986T,60-69,-0.359049207
GTEX-11NV4-1326-SM-5HL6V,60-69,-0.81403175
GTEX-11OF3-0726-SM-5BC4Z,60-69,-1.573795858
GTEX-11TUW-1726-SM-5BC5C,60-69,1.104695872
GTEX-11WQC-0726-SM-5EQMR,60-69,-0.016297095
GTEX-11ZTS-1426-SM-5EQMM,60-69,-1.994165155
GTEX-1212Z-0226-SM-59HLF,60-69,-0.709058722
GTEX-12696-0826-SM-5EGGE,60-69,0.524717932
GTEX-1269C-0626-SM-5FQSS,60-69,0.337242913
GTEX-12WSD-1426-SM-5GCN9,60-69,-0.292949015
GTEX-12WSM-0726-SM-5GCOW,60-69,-0.804812445
GTEX-12ZZZ-1326-SM-59HKW,60-69,-0.531766955
GTEX-13113-1326-SM-5GCOI,60-69,0.764890082
GTEX-131YS-1626-SM-5HL6C,60-69,-1.443605504
GTEX-132NY-0926-SM-5P9G3,60-69,-0.30987753
GTEX-1399T-0826-SM-5IFES,60-69,-0.147880042
GTEX-139TS-1426-SM-5IFJD,60-69,-0.04783531
GTEX-139TU-0826-SM-5IJFG,60-69,0.030224706
GTEX-13FTZ-0726-SM-5IFFY,60-69,-1.562438875
GTEX-13G51-0626-SM-HK7AV,60-69,-2.27147072
GTEX-13N2G-0926-SM-5IFGJ,60-69,-0.361629679
GTEX-13O1R-2026-SM-5KM3N,60-69,1.938522579
GTEX-13O3O-1826-SM-5IFGW,60-69,0.542243539
GTEX-13PVR-0126-SM-5S2PY,60-69,1.319153071
GTEX-13QJC-0726-SM-5RQJK,60-69,-0.82884402
GTEX-13S7M-1126-SM-HAV2A,60-69,0.375948339
GTEX-145MO-2326-SM-5NQ9K,60-69,-0.517746868
GTEX-14753-1626-SM-5NQ9L,60-69,-1.357519134
GTEX-147GR-1326-SM-7IGLB,60-69,0.263166533
GTEX-147JS-1126-SM-5RQIW,60-69,-0.430662817
GTEX-148VI-0626-SM-5TDDH,60-69,0.548593804
GTEX-1497J-0726-SM-5Q5D1,60-69,0.249398923
GTEX-14DAQ-1726-SM-5S2R2,60-69,-1.115629912
GTEX-14PJO-1726-SM-68719,60-69,0.410362718
GTEX-14XAO-0226-SM-68728,60-69,0.249398923
GTEX-15CHQ-0926-SM-HAV1W,60-69,0.350078135
GTEX-15DYW-1326-SM-6LPIV,60-69,0.015013984
GTEX-16MT8-2126-SM-HAV1Q,60-69,1.453213675
GTEX-16Z82-1426-SM-HAV2I,60-69,0.854956055
GTEX-18A66-2026-SM-7189C,60-69,1.160580841
GTEX-18A6Q-2026-SM-718AQ,60-69,-1.4627165
GTEX-18D9B-1526-SM-7KFRK,60-69,0.249398923
GTEX-1A8G7-1126-SM-731ED,60-69,0.359448123
GTEX-1AX8Z-1026-SM-7189R,60-69,1.296563621
GTEX-1AX9I-1626-SM-72D5D,60-69,-0.439329768
GTEX-1B8L1-0726-SM-7P8RT,60-69,-1.955358826
GTEX-1B996-1426-SM-7EPIA,60-69,0.353238079
GTEX-1CB4F-1726-SM-7MGXH,60-69,0.945365589
GTEX-1CB4J-0726-SM-7IGN8,60-69,0.813780797
GTEX-1EH9U-1126-SM-7IGLU,60-69,0.812115658
GTEX-1EKGG-1226-SM-7IGNO,60-69,-1.328424317
GTEX-1GF9V-1226-SM-7MKGY,60-69,-0.2415117
GTEX-1GF9W-0826-SM-7MKHI,60-69,1.383291974
GTEX-1GN2E-0926-SM-9WPOH,60-69,-0.968989804
GTEX-1GN73-1126-SM-9OSW5,60-69,0.378834116
GTEX-1H1CY-1026-SM-HLJS4,60-69,-1.789062482
GTEX-1H23P-1826-SM-GA91S,60-69,1.547540119
GTEX-1HCU6-2026-SM-GA91U,60-69,1.322894005
GTEX-1I1GR-1526-SM-CNNQE,60-69,-0.925485993
GTEX-1I1GV-1026-SM-GA8Z8,60-69,0.224575943
GTEX-1I1HK-1126-SM-AHZ2L,60-69,-1.164031803
GTEX-1IKJJ-1526-SM-C1YSC,60-69,-1.189102688
GTEX-1IKK5-0326-SM-C1YPY,60-69,1.746419252
GTEX-1J8EW-1626-SM-C1YQ8,60-69,-0.617264711
GTEX-1JJ6O-0826-SM-CXZJL,60-69,0.891920674
GTEX-1JJEA-1526-SM-CNNPK,60-69,-0.891304148
GTEX-1NV8Z-1626-SM-DPRYT,60-69,-2.362151341
GTEX-1PPGY-2226-SM-F2I29,60-69,-2.049616291
GTEX-1QCLZ-1226-SM-EAZ49,60-69,0.349674271
GTEX-1RQEC-1126-SM-EAZ5E,60-69,-1.002803493
GTEX-1RQED-0726-SM-HLJQL,60-69,-1.762977792
GTEX-1S5VW-1826-SM-EAZ53,60-69,-0.041267582
GTEX-N7MS-1825-SM-HLJR9,60-69,-2.390807109
GTEX-O5YV-0726-SM-EV798,60-69,0.499295695
GTEX-OIZF-0826-SM-7MKH9,60-69,0.326154801
