"GTEXID","Age","PTGES3"
"GTEX-13FTW-1126-SM-5J2NV","40-49",6.048336466
"GTEX-13NYB-1026-SM-5IFH3","40-49",6.38623672
"GTEX-14AS3-0126-SM-5Q5F4","40-49",6.060272247
"GTEX-14JG1-1626-SM-664NH","40-49",5.909237873
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",6.235510716
"GTEX-15RJE-1126-SM-6LPI5","40-49",5.148690111
"GTEX-15SHU-1826-SM-7KUKS","40-49",5.443046305
"GTEX-15UF7-0426-SM-HAV2G","40-49",5.929068996
"GTEX-17EVP-1026-SM-7IGOZ","40-49",6.018542935
"GTEX-17MF6-1126-SM-7DUFS","40-49",5.817835553
"GTEX-1B932-1426-SM-793AN","40-49",6.520607681
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",5.582010976
"GTEX-1EN7A-2026-SM-7MGY4","40-49",5.639666296
"GTEX-1GF9X-0426-SM-7MKHN","40-49",5.69434535
"GTEX-1H11D-0826-SM-9OSWB","40-49",6.876123989
"GTEX-1H1DF-1326-SM-9WPPR","40-49",5.985634766
"GTEX-1HBPH-2626-SM-A96TV","40-49",5.669177038
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",6.70827002
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",5.351462257
"GTEX-1MJIX-0726-SM-DPRYP","40-49",4.606294161
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",6.053391592
"GTEX-P78B-1326-SM-3P611","40-49",6.854993017
"GTEX-Q2AG-1126-SM-48U1P","40-49",5.761883612
"GTEX-Q734-0326-SM-48U15","40-49",6.060272247
"GTEX-RWSA-1426-SM-47JXA","40-49",5.378043365
"GTEX-UPK5-1426-SM-4JBHH","40-49",6.521875213
"GTEX-W5X1-0126-SM-HLJRF","40-49",6.712334399
"GTEX-WFON-1726-SM-4LVMQ","40-49",5.792787692
"GTEX-WYVS-1926-SM-4PQZ2","40-49",6.16827899
"GTEX-WZTO-0626-SM-4PQYY","40-49",5.532080024
"GTEX-X3Y1-2726-SM-4PQZH","40-49",5.870160015
"GTEX-Y5LM-0426-SM-4VBRO","40-49",6.87892148
"GTEX-YB5E-0326-SM-5IFHU","40-49",7.072781102
"GTEX-YEC4-0826-SM-5P9FV","40-49",5.816783999
"GTEX-YFC4-1526-SM-5IFJS","40-49",6.937932839
"GTEX-Z9EW-0426-SM-5CVM9","40-49",6.590101953
"GTEX-ZAB4-0826-SM-5LU9D","40-49",5.784341697
"GTEX-ZPU1-0826-SM-57WG2","40-49",6.692622475
"GTEX-11DXZ-0126-SM-5EGGY","50-59",5.540854919
"GTEX-11NUK-1226-SM-5P9GM","50-59",5.446623475
"GTEX-11ZVC-0726-SM-5FQT9","50-59",5.905319607
"GTEX-12WSG-0626-SM-5FQTQ","50-59",6.675081979
"GTEX-12WSI-0226-SM-5GCNA","50-59",5.896809489
"GTEX-12WSL-0226-SM-5CVMJ","50-59",6.247790831
"GTEX-13112-1426-SM-5EGH8","50-59",5.554444575
"GTEX-131XE-0326-SM-5LZVO","50-59",6.060272247
"GTEX-131XH-0626-SM-5LZWH","50-59",5.005754779
"GTEX-132AR-0426-SM-5IFH8","50-59",6.060272247
"GTEX-139YR-0226-SM-5IFEM","50-59",6.798543084
"GTEX-13FLV-0326-SM-5N9DJ","50-59",6.530852635
"GTEX-13N11-0926-SM-5IJG2","50-59",6.012264728
"GTEX-13NZ9-1326-SM-5MR3V","50-59",6.060272247
"GTEX-13OVJ-1026-SM-5IFGI","50-59",6.060272247
"GTEX-13OVL-0726-SM-HAV29","50-59",5.598615321
"GTEX-13OW6-2626-SM-5IFF2","50-59",5.929405186
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",6.060272247
"GTEX-13SLX-1226-SM-5S2Q6","50-59",7.073863068
"GTEX-13VXU-0926-SM-5IFFH","50-59",5.979844723
"GTEX-13X6J-1826-SM-5TDCT","50-59",4.773584972
"GTEX-144GL-1426-SM-5O9BO","50-59",5.56644378
"GTEX-145LU-1326-SM-5LU9N","50-59",5.284284622
"GTEX-145MF-0826-SM-5QGQA","50-59",6.154743188
"GTEX-146FH-1526-SM-5NQBU","50-59",6.060272247
"GTEX-147F4-1426-SM-5LUA8","50-59",5.879642059
"GTEX-14A5I-1726-SM-5QGQ5","50-59",5.827455765
"GTEX-14BIL-1326-SM-5O9CZ","50-59",6.307514137
"GTEX-14C38-1526-SM-5RQJ7","50-59",6.219900333
"GTEX-14E1K-0326-SM-5S2PE","50-59",6.36341466
"GTEX-14PHX-0526-SM-664NW","50-59",6.173938921
"GTEX-15SZO-1226-SM-6LPIP","50-59",6.264268059
"GTEX-17HGU-1826-SM-7IGQM","50-59",5.806228665
"GTEX-17HHE-0126-SM-79398","50-59",6.716236436
"GTEX-17HII-1026-SM-7IGLY","50-59",6.174680054
"GTEX-18465-1626-SM-7LG6N","50-59",5.555021595
"GTEX-18A7A-1526-SM-72D69","50-59",6.409652295
"GTEX-1A32A-0826-SM-72D5C","50-59",6.292579316
"GTEX-1A8FM-1226-SM-7IGMD","50-59",5.970920359
"GTEX-1AMFI-0826-SM-731DV","50-59",6.77798511
"GTEX-1B8SG-1326-SM-79ONT","50-59",6.005370792
"GTEX-1B933-1226-SM-731DW","50-59",5.964407874
"GTEX-1C6VQ-1626-SM-79OO1","50-59",6.021057695
"GTEX-1E2YA-1226-SM-7MGY3","50-59",5.598475381
"GTEX-1F75A-1626-SM-9JGGT","50-59",5.019612966
"GTEX-1GN1U-0926-SM-9WPPY","50-59",5.683297834
"GTEX-1GZ4I-1526-SM-9OSW9","50-59",5.929376779
"GTEX-1HB9E-0626-SM-AHZ4K","50-59",7.191621867
"GTEX-1HBPI-1026-SM-AHZ4N","50-59",5.908904154
"GTEX-1HCU7-1726-SM-B2LX9","50-59",6.409234777
"GTEX-1HCVE-1526-SM-B2LWW","50-59",5.813203998
"GTEX-1ICLY-1526-SM-C1YS4","50-59",6.252491353
"GTEX-1JMLX-1326-SM-CXZJO","50-59",6.46797229
"GTEX-1K9T9-0726-SM-CXZJZ","50-59",6.126186145
"GTEX-1KAFJ-0726-SM-CXZKF","50-59",6.561460562
"GTEX-1KANB-2226-SM-DHXJW","50-59",6.172595522
"GTEX-1KD5A-1226-SM-CXZK7","50-59",6.937132493
"GTEX-1LB8K-1926-SM-HLJQQ","50-59",5.463900324
"GTEX-1LGRB-0626-SM-CNNQH","50-59",6.700398101
"GTEX-1LH75-0926-SM-EAZ5C","50-59",6.291445165
"GTEX-1LSNL-2026-SM-HLJQ4","50-59",5.761245375
"GTEX-1OJC4-1126-SM-HLJQI","50-59",5.958896022
"GTEX-1QP66-0226-SM-DPRXS","50-59",6.136677426
"GTEX-1S3DN-1126-SM-HLJQO","50-59",5.167028691
"GTEX-O5YW-0826-SM-HK7A3","50-59",6.000667092
"GTEX-OHPM-0826-SM-HLJRC","50-59",6.663259217
"GTEX-OXRK-1226-SM-HLJR8","50-59",6.843544237
"GTEX-QDVN-0826-SM-48TZ2","50-59",6.790876275
"GTEX-QEL4-1226-SM-447A4","50-59",6.88463455
"GTEX-QV44-0326-SM-C1YQX","50-59",6.270257944
"GTEX-QXCU-1826-SM-HLJS6","50-59",4.48610937
"GTEX-R53T-0326-SM-48FEC","50-59",6.060272247
"GTEX-RM2N-1926-SM-48FCU","50-59",6.088262467
"GTEX-RN64-1826-SM-48FDV","50-59",5.640667197
